,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
552,595 North Dobson Road Suite C 48,{'ByAppointmentOnly': True},OXXlNo095qa3ghyPPw4Tog,"['Health & Medical', 'Cardiologists', 'Doctors']",Chandler,{},1,33.3130044,-111.8750775,"Dr. James F. Ganem, MD",,85224,10,4.0,AZ
898,"Main Street, Carrigaline","{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': True, 'RestaurantsTableService': True, 'RestaurantsTakeOut': False, 'GoodForKids': True, 'HappyHour': False, 'GoodForDancing': False, 'BikeParking': False, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'lot': False, 'valet': False}, 'CoatCheck': False}",RBOXMNb_gzdmy1CRPxv_4A,"['Irish', 'Bars', 'Nightlife', 'Restaurants']",Main Street,{},1,51.8124379933,-8.3926353604,The Abbey Bar & Restaurant,,,3,3.0,CO
1046,16215 Madison Ave,"{'AcceptsInsurance': True, 'ByAppointmentOnly': True, 'BusinessAcceptsCreditCards': True}",EzCQZSXKlqgnsoMIuu7LyA,"['Health & Medical', 'Internal Medicine', 'Doctors', 'Surgeons', 'Cardiologists']",Lakewood,"{'Tuesday': '8:00-20:00', 'Thursday': '8:00-20:00', 'Wednesday': '8:00-20:00', 'Monday': '8:00-20:00', 'Saturday': '8:00-12:00'}",1,41.477057,-81.8112627,Lakewood Family Health Center - Cleveland Clinic,,44107,8,3.5,OH
2387,"595 N Dobson Rd, Ste A-18","{'AcceptsInsurance': True, 'ByAppointmentOnly': True, 'BusinessAcceptsCreditCards': True}",z_IKNghnlqZWUgkyU9liIw,"['Health & Medical', 'Pediatricians', 'Doctors']",Chandler,"{'Friday': '8:00-17:00', 'Tuesday': '8:00-17:00', 'Thursday': '8:00-17:00', 'Wednesday': '8:00-17:00', 'Monday': '8:00-17:00'}",1,33.3130044,-111.8750775,"Healing Hearts Pediatrics, PLC",,85224,28,3.0,AZ
4976,4400 Sharon Rd,"{'RestaurantsPriceRange2': 3, 'DogsAllowed': False, 'BusinessParking': {'garage': True, 'street': False, 'validated': True, 'lot': True, 'valet': True}, 'BikeParking': True, 'WheelchairAccessible': True}",ES0ijQ-KlNPUoXl4tK1tDQ,"['Shopping Centers', 'Department Stores', 'Shopping', 'Fashion']",Charlotte,"{'Monday': '10:00-21:00', 'Tuesday': '10:00-21:00', 'Friday': '10:00-21:00', 'Wednesday': '10:00-21:00', 'Thursday': '10:00-21:00', 'Sunday': '10:00-20:00', 'Saturday': '9:00-22:00'}",1,35.1521873165,-80.8317588968,SouthPark,South Park,28211,188,4.0,NC
5257,3000 Sage Rd,"{'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': True, 'AcceptsInsurance': False, 'ByAppointmentOnly': True, 'WheelchairAccessible': True}",Hq64gtF-ug1mFBRpji5yqQ,"['Day Spas', 'Medical Spas', 'Health & Medical', 'Massage Therapy', 'Beauty & Spas', 'Massage']",Houston,{},0,29.7358298,-95.4676332,Spa Alexis Massage & Bodywork,Galleria/Uptown,77056,4,4.0,WA
6307,"No 8 Main Street, Midleton","{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'GoodForKids': False, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'RestaurantsTakeOut': False, 'RestaurantsGoodForGroups': True}",fh4hlhzpwQRPg82gFLDLdg,"['Irish', 'Restaurants']",Main Street,{},1,51.9161508527,-8.1740587155,Sage Restaurant,,,3,4.5,CO
7436,5865 W Ray Rd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",j3csEfGzkwnXATdRoZDT-A,"['Restaurants', 'Mexican']",Chandler,"{'Monday': '11:00-20:00', 'Tuesday': '11:00-20:00', 'Friday': '11:00-21:00', 'Wednesday': '11:00-20:00', 'Thursday': '11:00-20:00', 'Saturday': '11:00-21:00'}",0,33.3186906,-111.9437771,Casa Reynoso,,85226,36,3.5,AZ
8455,301 Stratford Ave,{},4R6NJhiq_t91E3W72ou7YA,"['Event Planning & Services', 'Home Services', 'Hotels', 'Guest Houses', 'Hotels & Travel', 'Real Estate']",Pittsburgh,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,40.460781,-79.933116,Friendship Suites,Friendship,15232,3,4.0,PA
10883,99 Alfred St,"{'RestaurantsTableService': False, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': False, 'GoodForKids': True, 'ByAppointmentOnly': False, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}",oxxcmHKPb7jqVP15zC0j5w,"['Nutritionists', 'Health & Medical', 'Health Markets', 'Specialty Food', 'Drugstores', 'Food', 'Restaurants', 'Shopping', 'International Grocery', 'Gluten-Free']",Mount Lebanon,"{'Monday': '9:00-18:00', 'Tuesday': '9:00-18:00', 'Friday': '9:00-18:00', 'Wednesday': '9:00-18:00', 'Thursday': '9:00-18:00', 'Sunday': '10:00-14:00', 'Saturday': '9:00-17:00'}",1,40.3806685418,-80.0441339335,Eden's Market,,15228,6,3.5,PA
