,user_id,business_id,business_category,user_reviews_count,yelping_since,useful,fans,elite_count,compliment_count,months_since,final_score,user_name,address,attributes,categories,city,hours,is_open,latitude,longitude,business_name,neighborhood,postal_code,business_review_count,stars,business_state
0,PcvbBOCOcs6_suRDH7TSTg,KCVnCb6TvTzoDp4t-Qf4wQ,Restaurant,1071,8/16/2012,20586,159,2,5294,68,2.062390025,Juan,4818 N 7th St,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['American (Traditional)', 'Chinese', 'Restaurants', 'Kosher']",Phoenix,"{'Monday': '9:00-21:00', 'Tuesday': '9:00-21:00', 'Friday': '8:00-15:00', 'Wednesday': '9:00-21:00', 'Thursday': '9:00-21:00', 'Sunday': '9:00-21:00'}",1,33.50796,-112.065353,Segal's Oasis Grill,,85014,35,3.0,Arizona
1,H3KluKXf1mp3etCToCJhqg,j3csEfGzkwnXATdRoZDT-A,Restaurant,399,6/17/2012,36,10,3,25,70,2.023055164,Mike,5865 W Ray Rd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Mexican']",Chandler,"{'Monday': '11:00-20:00', 'Tuesday': '11:00-20:00', 'Friday': '11:00-21:00', 'Wednesday': '11:00-20:00', 'Thursday': '11:00-20:00', 'Saturday': '11:00-21:00'}",0,33.318690600000004,-111.94377709999999,Casa Reynoso,,85226,36,3.5,Arizona
2,Cr88dTMP_sfPX0KTIkoO9g,nYxa4JoHZ96kptIZhFlz9w,Restaurant,2,11/17/2010,0,0,0,0,89,1.098765432,Anthony,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.79097009999998,McDonald's,,85286,22,2.5,Alaska
3,MJKjuoxDDjUYVbNcaqyjjg,nYxa4JoHZ96kptIZhFlz9w,Restaurant,2,4/7/2012,0,0,0,0,72,0.8888888890000001,Benjamin,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.79097009999998,McDonald's,,85286,22,2.5,Alaska
4,UA_PSxcBCxWIycTPcOxzTA,mD7zqv7Y3kvsa_p_MtTayg,Restaurant,55,5/13/2011,0,1,0,0,83,1.0251193790000002,Trevor,8 S San Marcos Pl,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': False, 'BikeParking': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'HappyHour': True, 'GoodForDancing': False, 'DogsAllowed': True, 'RestaurantsTableService': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'ByAppointmentOnly': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'CoatCheck': False, 'Smoking': 'outdoor', 'WheelchairAccessible': True}","['Wine Bars', 'American (New)', 'American (Traditional)', 'Breakfast & Brunch', 'Bars', 'Food', 'Nightlife', 'Latin American', 'Restaurants', 'Breweries', 'Pizza', 'Pubs', 'Burgers']",Chandler,"{'Monday': '11:00-23:00', 'Tuesday': '11:00-23:00', 'Friday': '8:00-1:00', 'Wednesday': '11:00-23:00', 'Thursday': '11:00-23:00', 'Sunday': '8:00-23:00', 'Saturday': '8:00-1:00'}",1,33.303234100000005,-111.84252930000001,SanTan Brewing Company,,85225,1100,4.0,Arizona
5,o7g9FHCJ7Rfdwf3UdlB1Dg,0TgBr7wAMQOij6_JP9q3ag,Restaurant,13,4/9/2012,1,0,0,0,72,0.88890669,Whitney,2990 E Germann Rd,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}","['Restaurants', 'Pizza', 'Italian', 'Salad', 'Gluten-Free']",Chandler,"{'Monday': '11:00-21:00', 'Tuesday': '11:00-21:00', 'Friday': '11:00-22:00', 'Wednesday': '11:00-21:00', 'Thursday': '11:00-21:00', 'Sunday': '11:00-21:00', 'Saturday': '11:00-22:00'}",0,33.27834489999999,-111.7908416,Eklectic Pie - Chandler,,85286,80,4.0,Arizona
6,aSo8b495Tfjw_8Idg94Fqw,3sOS8wKatd_Uoa9VEJHhrw,Restaurant,105,6/2/2012,18,1,0,4,70,0.8649604359999999,Richard,4433 N 16th St,"{'Alcohol': 'beer_and_wine', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'no', 'RestaurantsReservations': False, 'BusinessAcceptsBitcoin': False, 'RestaurantsTableService': False, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'American (Traditional)', 'Delis', 'Sandwiches']",Phoenix,"{'Monday': '10:30-20:00', 'Tuesday': '10:30-20:00', 'Friday': '10:30-20:00', 'Wednesday': '10:30-20:00', 'Thursday': '10:30-20:00', 'Sunday': '7:00-20:00', 'Saturday': '7:00-20:00'}",1,33.501658899999995,-112.04725,Miracle Mile Delicatessen,,85016,178,4.0,Arizona
7,H74Dv2uhRcfYurTwLMTjNA,rIzfzSK7MWuixRbhLgN5Ww,Restaurant,57,4/3/2013,226,1,0,6,60,0.7452134309999999,Linda,4830 E Bell Rd,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'very_loud', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'WheelchairAccessible': True, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}","['Fast Food', 'Burgers', 'Restaurants']",Scottsdale,{},1,33.6410068,-111.9762407,McDonald's,,85254,38,2.5,Arizona
8,acG6sCCyWwfH4_lJ-lTgKw,ClLRnbf39ghdMM08cVnUNA,Restaurant,22,12/9/2013,19,0,0,0,52,0.642313522,Matt,"2235 S Power Rd, Ste 127","{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'very_loud', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': False, 'RestaurantsTableService': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'HappyHour': True, 'GoodForDancing': False, 'BikeParking': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'CoatCheck': False}","['Restaurants', 'Sports Bars', 'Nightlife', 'American (Traditional)', 'Bars']",Mesa,"{'Monday': '11:00-0:00', 'Tuesday': '11:00-0:00', 'Friday': '11:00-1:00', 'Wednesday': '11:00-0:00', 'Thursday': '11:00-0:00', 'Sunday': '11:00-23:00', 'Saturday': '11:00-1:00'}",0,33.3749756,-111.6871525,BullPen Bar n Grill,,85209,57,2.5,Arizona
9,Hucf3msWDa-MzTcjFzbTnQ,nvS8QmE2kfGxtnvfxDCcjw,Restaurant,33,4/6/2014,0,0,0,1,48,0.59259621,S,"3757 S Gilbert Rd, Ste 110","{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'WheelchairAccessible': True, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': False, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Tex-Mex', 'Mexican', 'Restaurants', 'Fast Food']",Gilbert,"{'Monday': '10:45-22:00', 'Tuesday': '10:45-22:00', 'Friday': '10:45-22:00', 'Wednesday': '10:45-22:00', 'Thursday': '10:45-22:00', 'Sunday': '10:45-22:00', 'Saturday': '10:45-22:00'}",1,33.28181649,-111.7888702,Chipotle Mexican Grill,,85297,48,3.0,Arizona
