,user_id,business_id,business_category,full_state,address,attributes,categories,city,hours,is_open,latitude,longitude,business_name,neighborhood,postal_code,business_review_count,stars,state_small,username,user_reviews_count,yelping_since,useful,fans,elite_count,compliment_count,months_since,final_score
0,PcvbBOCOcs6_suRDH7TSTg,KCVnCb6TvTzoDp4t-Qf4wQ,Restaurant,Alaska,4818 N 7th St,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['American (Traditional)', 'Chinese', 'Restaurants', 'Kosher']",Phoenix,"{'Monday': '9:00-21:00', 'Tuesday': '9:00-21:00', 'Friday': '8:00-15:00', 'Wednesday': '9:00-21:00', 'Thursday': '9:00-21:00', 'Sunday': '9:00-21:00'}",1,33.50796,-112.065353,Segal's Oasis Grill,,85014,35,3.0,AZ,Juan,1071,2012-08-16,20586,159,2,5294,68,2.062390024852106
1,PcvbBOCOcs6_suRDH7TSTg,KCVnCb6TvTzoDp4t-Qf4wQ,Restaurant,Alaska,4818 N 7th St,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['American (Traditional)', 'Chinese', 'Restaurants', 'Kosher']",Phoenix,"{'Monday': '9:00-21:00', 'Tuesday': '9:00-21:00', 'Friday': '8:00-15:00', 'Wednesday': '9:00-21:00', 'Thursday': '9:00-21:00', 'Sunday': '9:00-21:00'}",1,33.50796,-112.065353,Segal's Oasis Grill,,85014,35,3.0,AZ,Juan,1071,2012-08-16,20586,159,2,5294,68,2.062390024852106
2,H3KluKXf1mp3etCToCJhqg,j3csEfGzkwnXATdRoZDT-A,Restaurant,Alaska,5865 W Ray Rd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Mexican']",Chandler,"{'Monday': '11:00-20:00', 'Tuesday': '11:00-20:00', 'Friday': '11:00-21:00', 'Wednesday': '11:00-20:00', 'Thursday': '11:00-20:00', 'Saturday': '11:00-21:00'}",0,33.318690600000004,-111.94377709999999,Casa Reynoso,,85226,36,3.5,AZ,Mike,399,2012-06-17,36,10,3,25,70,2.0230551642289694
3,H3KluKXf1mp3etCToCJhqg,j3csEfGzkwnXATdRoZDT-A,Restaurant,Alaska,5865 W Ray Rd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Mexican']",Chandler,"{'Monday': '11:00-20:00', 'Tuesday': '11:00-20:00', 'Friday': '11:00-21:00', 'Wednesday': '11:00-20:00', 'Thursday': '11:00-20:00', 'Saturday': '11:00-21:00'}",0,33.318690600000004,-111.94377709999999,Casa Reynoso,,85226,36,3.5,AZ,Mike,399,2012-06-17,36,10,3,25,70,2.0230551642289694
4,Cr88dTMP_sfPX0KTIkoO9g,nYxa4JoHZ96kptIZhFlz9w,Restaurant,Alaska,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.2768201798,-111.79097007799999,McDonald's,,85286,22,2.5,AK,Anthony,2,2010-11-17,0,0,0,0,89,1.0987654320987654
5,Cr88dTMP_sfPX0KTIkoO9g,nYxa4JoHZ96kptIZhFlz9w,Restaurant,Alaska,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.2768201798,-111.79097007799999,McDonald's,,85286,22,2.5,AK,Anthony,2,2010-11-17,0,0,0,0,89,1.0987654320987654
6,MJKjuoxDDjUYVbNcaqyjjg,nYxa4JoHZ96kptIZhFlz9w,Restaurant,Alaska,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.2768201798,-111.79097007799999,McDonald's,,85286,22,2.5,AK,Benjamin,2,2012-04-07,0,0,0,0,72,0.8888888888888888
7,MJKjuoxDDjUYVbNcaqyjjg,nYxa4JoHZ96kptIZhFlz9w,Restaurant,Alaska,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.2768201798,-111.79097007799999,McDonald's,,85286,22,2.5,AK,Benjamin,2,2012-04-07,0,0,0,0,72,0.8888888888888888
8,UA_PSxcBCxWIycTPcOxzTA,mD7zqv7Y3kvsa_p_MtTayg,Restaurant,Alaska,8 S San Marcos Pl,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': False, 'BikeParking': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'HappyHour': True, 'GoodForDancing': False, 'DogsAllowed': True, 'RestaurantsTableService': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'ByAppointmentOnly': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'CoatCheck': False, 'Smoking': 'outdoor', 'WheelchairAccessible': True}","['Wine Bars', 'American (New)', 'American (Traditional)', 'Breakfast & Brunch', 'Bars', 'Food', 'Nightlife', 'Latin American', 'Restaurants', 'Breweries', 'Pizza', 'Pubs', 'Burgers']",Chandler,"{'Monday': '11:00-23:00', 'Tuesday': '11:00-23:00', 'Friday': '8:00-1:00', 'Wednesday': '11:00-23:00', 'Thursday': '11:00-23:00', 'Sunday': '8:00-23:00', 'Saturday': '8:00-1:00'}",1,33.3032341003,-111.84252929700001,SanTan Brewing Company,,85225,1100,4.0,AZ,Trevor,55,2011-05-13,0,1,0,0,83,1.0251193791404
9,UA_PSxcBCxWIycTPcOxzTA,mD7zqv7Y3kvsa_p_MtTayg,Restaurant,Alaska,8 S San Marcos Pl,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': False, 'BikeParking': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'HappyHour': True, 'GoodForDancing': False, 'DogsAllowed': True, 'RestaurantsTableService': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'ByAppointmentOnly': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'CoatCheck': False, 'Smoking': 'outdoor', 'WheelchairAccessible': True}","['Wine Bars', 'American (New)', 'American (Traditional)', 'Breakfast & Brunch', 'Bars', 'Food', 'Nightlife', 'Latin American', 'Restaurants', 'Breweries', 'Pizza', 'Pubs', 'Burgers']",Chandler,"{'Monday': '11:00-23:00', 'Tuesday': '11:00-23:00', 'Friday': '8:00-1:00', 'Wednesday': '11:00-23:00', 'Thursday': '11:00-23:00', 'Sunday': '8:00-23:00', 'Saturday': '8:00-1:00'}",1,33.3032341003,-111.84252929700001,SanTan Brewing Company,,85225,1100,4.0,AZ,Trevor,55,2011-05-13,0,1,0,0,83,1.0251193791404
