,user_id,user_reviews_count,yelping_since,useful,fans,elite_count,compliment_count,months_since,final_score,text,business_useful_review_count,business_id,cool,review_id,date,business_stars,funny,sentiment_score,address,attributes,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,business_review_count,business_review_stars,state,business_category,full_state,username
4060367,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,I just came here real quick to get a soda since I needed caffeine. My order was taken quickly and the cashier was very cool. He was personable and efficient. Store is also very clean and staff seemed busy getting their orders cleared. Impressed.,0,nYxa4JoHZ96kptIZhFlz9w,0,YjdG-Tgxb0HmjsKXhGdbbA,4/12/2017,5,0,7,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Juan
4060368,H3KluKXf1mp3etCToCJhqg,399,6/17/2012,36,10,3,25,70,2.023055164,"This is one of the cleanest McDonald's you can visit.  I compare it to both of the McDonald's on Alma School near Sun Lakes - they too are very clean and well run.  My order was fast and everything was correct.  Soda, as seems to be the case all too often at fast food restaurants, was poorly brixed.  Too little flavor, too much carbonated water.  But, overall, this is a very good McDonald's to visit.  BTW, fries were really fresh and hot.  Yummmm.",0,nYxa4JoHZ96kptIZhFlz9w,0,Zf8W8f-MvDhzNWT9kBtk6w,11/22/2016,4,0,4,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Mike
4060369,Cr88dTMP_sfPX0KTIkoO9g,2,11/17/2010,0,0,0,0,89,1.098765432,"I would normally never review a fast food restaurant, but this McDonald's location never, and I mean never, gets my order 100% correct when going through the drive thru. Most of the time it's forgetting the sauce for my kids nuggets which might not seem like a big deal but it's been multiple times with multiple employees. It's enough to make a mom lose my cool when I'm rushing to pick them up from school!!",0,nYxa4JoHZ96kptIZhFlz9w,0,ocghcDGgvSTQj5mdofhL3A,11/9/2016,2,0,4,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Anthony
4060370,UA_PSxcBCxWIycTPcOxzTA,55,5/13/2011,0,1,0,0,83,1.025119379,"The drive through ladies in the week day mornings work their butt off to keep the lines going! They are always happy and remember my order.  I would give it 5-stars for them.  However, the two gentlemen that work some times seem flustered and are never courteous. I use the McDonalds app daily for my iced coffee and never have a problem. They give out freebies on the app often.  However, the new guy told me that the app does not work on iced coffees and told me I couldn't use it. So now I have to go in to avoid him in the event I want to use my app.  What the heck, I even told him I've used it multiple times but shut me down, didn't even try to consult the manager.   Besides that, it's a busy location and they do a good job overall.",0,nYxa4JoHZ96kptIZhFlz9w,0,lnvbhWVRtKaJNBDSK0bAbA,9/16/2017,3,0,1,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Trevor
4060371,o7g9FHCJ7Rfdwf3UdlB1Dg,13,4/9/2012,1,0,0,0,72,0.88890669,"Waiting 15-20 for a coffee and egg McMuffin is crazy.  This place is way understaffed for the volume and extremely miss managed. This is an everyday occruance, I never leave bad reviews but managemen/ownerst needs to do something fast!!",0,nYxa4JoHZ96kptIZhFlz9w,0,MlLEXamaF9cVLi9MqlaoeA,7/26/2017,1,0,-8,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Whitney
4060372,MJKjuoxDDjUYVbNcaqyjjg,2,4/7/2012,0,0,0,0,72,0.888888889,Just went thru drive thru ordered 20 piece and had to wait in parking lot for 10 min. Not to bad but when I got home no freaking sweet and sour sauce this is the second time this has happened here. I shouldn't have to check my bag for condiments. I give this place a big fat thumbs down will not be going back. I live 15 min away was not going to drive back.,0,nYxa4JoHZ96kptIZhFlz9w,0,m1npE1zaaB3gxim2wf5BPQ,3/1/2017,1,0,-1,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Benjamin
 ,aSo8b495Tfjw_8Idg94Fqw,105,6/2/2012,18,1,0,4,70,0.864960436,"All day breakfast except for 15-20 minutes before close.... who knew.  Pulled up and was told I could have anything else on the menu but the ""grill"" is turned off now.  Weird because burger are supposed to be made on a grill......Yeah.  Pet peeve of mine is when stores close before they are actually suppose to close.",0,nYxa4JoHZ96kptIZhFlz9w,0,OTqGAGJRHissz47uqFxtEw,1/28/2017,1,1,-2,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Richard
4060374,H74Dv2uhRcfYurTwLMTjNA,57,4/3/2013,226,1,0,6,60,0.745213431,"Very clean, great service, play area for the kids well maintained, with cameras and monitor screens to keep track of your little ones if you can't sit in direct view. All McDonalds should learn a lesson from the manager and crew at this location!",0,nYxa4JoHZ96kptIZhFlz9w,0,GKtuK7nK3CB9PFT_7z5XsQ,5/6/2016,5,0,5,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Linda
4060375,acG6sCCyWwfH4_lJ-lTgKw,22,12/9/2013,19,0,0,0,52,0.642313522,"Perfect McDonald's experience. Super friendly manager who said he personally doesn't mind having the customer wait a bit longer for completely fresh food. Don't know how corporate would feel about that, but from a customer's perspective at McDonald's... I'm lovin' it.",0,nYxa4JoHZ96kptIZhFlz9w,0,wkr1h_QH4yeYLWABcodE6A,1/18/2017,5,0,9,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,Matt
4060376,Hucf3msWDa-MzTcjFzbTnQ,33,4/6/2014,0,0,0,1,48,0.59259621,"Without a doubt, the slowest drive thru service anywhere, EVER. So unless you have essentially unlimited time to wait for your food, spend your money elsewhere. If I could give ZERO stars, I would....",0,nYxa4JoHZ96kptIZhFlz9w,0,DiQCcd1TGuaKWN60HEa6hQ,11/18/2017,1,0,-1,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}","['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.27682018,-111.7909701,McDonald's,,85286,22,2.5,AK,Restaurant,Alaska,S
