,address,attributes,business_id,categories,latitude,longitude,name,postal_code,business_review_counts,business_stars,state,user_id,user_review_count,yelping_since,user_useful_count,fans,elite_count,compliment_count,months_since,final_score,text,buisness_review_useful_count,cool,review_id,review_date,review_stars,funny,sentiment_score,business_category
0,"8125 W Sahara Ave, Ste 110","{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantReservations': True, 'BYOB': False, 'RestaurantTableService': True, 'Corkage': True, 'RestaurantTakeOut': True, 'GoodForKids': False, 'WheelchairAccessible': True, 'OutdoorSeating': False, 'RestaurantPriceRange2': 3, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",3m2XZFVraCiqjgLxHi5MdA,"['American (New)', 'Restaurant']",36.1427696,-115.2692867,Rosemary's Restaurant,89117,323,4.5,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"We had dinner at Rosemary's on a Sunday last month.I arrived early and peppered the hostesses with questions on dishes they would recommend, the art on the walls (from local independent artists and available for purchase), and the age of the restaurant. I also found out they offer full-service catering. The hostesses were friendly (they put up with me) and knowledgeable.The place eventually became crowded. It was somewhat hilarious (and a little offensive) how one kid was watching a DVD at the table (who brings their kid - and their personal player - to a place like Rosemary's?). It was all the more obvious since the room was dim (relatively speaking: the tables in the front bar area were better lit). Our dining room suffered from ""mood lighting"" and would benefit from seat or table spotlights; I like to see what I'm eating. Others may argue that they don't want to see their date, so this place may be good for you!Service was outstanding. Our primary server and his assistant explained every dish (even the beer selections). Like Perrier's Le Bec-Fin, the servers were enthusiastic and placed the dishes on the table in unison. Unlike LBF, the servers didn't buzz around the table like insects.I was running on an hour of sleep, so I (wisely) refrained from having alcohol but a friend had the beer-meal pairings, which he enjoyed.A few of us ordered the chef's tasting menu ($70). Compared to typical tasting menus, the overall package was a generous size and we weren't able to finish it all. The courses which grabbed my attention (even through my sleepy stupor) were:- l'amuse bouche (I was amused)- First course: salmon tartar appetizer with watercress, caviar, crackers and a saffron sauce- Fourth course: rack of lamb with Kalamata olive mashed potatoes, fried arugula, and a rosemary bordelaise sauce (mmmmmm - quite savory and the lamb was oh-so-tender)Lackluster courses:- Second course: Panko crab boulettes with marinated cucumbers (flavorless)- Third course: Crispy skin striped bass with hushpuppies and a creole meuniere sauce (not too much flavor, and not a fan of fish)- Dessert: I don't remember the dessert - not my thing anyway.Rosemary's is 30-40 minutes from the Strip, but worth the cab ride there. It's popular and is booked quickly, so reserve your table in advance!",2,1,DknSI7Lgz072RHbdaTj79A,11/6/2007,4,0,47,Restaurant
1,"Bellagio Las Vegas, 3600 S Las Vegas Blvd","{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'free', 'RestaurantReservations': True, 'BYOB': False, 'BusinessAcceptsBitcoin': False, 'RestaurantTableService': True, 'Corkage': True, 'RestaurantTakeOut': False, 'GoodForKids': False, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantPriceRange2': 3, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}}",PDIh1lVtKlUqPJROXYJQvQ,"['American (New)', 'Steakhouses', 'Restaurant', 'Nightlife', 'Seafood', 'Bars']",36.1138449,-115.1753912,FIX,89109,605,3.5,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Fix's ambience is so-so. They would benefit from real walls (or tinted glass) to muffle some of the casino chatter and give it a real partitioned feeling. The sports game playing on the TV near us felt out of place, though a friend said it's likely someone was betting on the game and wanted to see its outcome.Our group of six didn't have reservations, but we secured seating by the bar. Service was outstanding! Our servers (Monica and Candy) were attentive and friendly. Monica got us tasty shots - the one I remember was a lemon drop with blueberry. (As you may have read elsewhere, their waitstaff is indeed gorgeous. I freakin' giggled like a middle schooler when Monica flashed a smile in my direction.)A few of us were recovering from a buffet earlier that day, so we went for side dishes and appetizers:- The Bobby Baldwin Burgers ($25) - three kobe sliders (with cheddar, grilled onions, and spiced fries) - were excellent, moist, and flavorful. Wish I had some right now.- I'm an oyster junkie, so I had to get their oysters ($3/oyster; East, West, and Speciality oysters available) were fresh and delicious.- The Forks ($21) were a little cheesy (in both senses of the word) - smoked salmon, caviar poppers, scallion blinis. My least favorite, but still tasty.I'd stop in again for the sliders, and perhaps their entrees (my one friend enjoyed his 20 oz. Ribeye ($49), and I trust his opinion). While the food was as pricey as I expected for a casino restaurant, the food TASTED better than I expected, even for the opulent Bellagio. Recommended for a try.",0,0,EpGJ1WxNzRNQcTP2mzDpdg,12/1/2007,4,0,33,Restaurant
2,"953 E Sahara Ave, Ste A5","{'Alcohol': 'beer_and_wine', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'yes_free', 'Caters': False, 'WiFi': 'no', 'RestaurantReservations': True, 'BYOB': False, 'BikeParking': False, 'Corkage': False, 'RestaurantTakeOut': True, 'GoodForKids': True, 'HappyHour': False, 'GoodForDancing': False, 'Open24Hours': False, 'RestaurantTableService': True, 'OutdoorSeating': False, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': False, 'BestNights': {'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'CoatCheck': False, 'Smoking': 'no', 'WheelchairAccessible': True, 'DietaryRestrictions': {'dairy-free': True, 'gluten-free': False, 'vegan': True, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}, 'RestaurantCounterService': False}",KskYqH1Bi7Z_61pH6Om8pg,"['Car Dealers', 'Thai', 'Automotive', 'Seafood', 'Bars', 'Wine Bars', 'Restaurant', 'Nightlife']",36.14345,-115.14278,Lotus of Siam,89104,3964,4,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Lotus of Siam recommends folks make reservations for dinner, and I couldn't agree more. The place gets a healthy crowd, so reserve as soon as you decide to go. Dress is casual, though I saw a table of women ready to go clubbing all glammed up.Their unassuming interior won't ""wow"" you (but you may notice the strong smell of Thai spices permeating the dining room). While you may not be shocked by the decor, the food WILL grab your attention. All of our appetizers and entrees were tasty and of a consistent quality. If we requested our dishes to be spicy, they came out spicy.Shared many dishes (which explains why I don't have much detail for some of them) and dined family style:- koong sarong (prawn in a blanket; $11) - wish we had more!- moo dad deaw (deep fried marinated pork jerky; $8) - yum- mussels - spicy and scrumptious- salad with ginger, ground beef ($8) - I think it was the tod mun plar- sour soup (served in its own cooker) (probably more than $10)- calamari salad (not bad!)- green curry (tasty, not overtly spicy)- something that looked like an omelette- a noodle dish that was drunken noodle-esqueLotus of Siam was recommended by many folks, local and otherwise. They aren't the best Thai restaurant in the US, as claimed, but it sure comes close. If you can live with average service (our first waitress seemed a little curt, but the rest were fine) and focus on their outstanding food, you'll find yourself a winner!",3,2,q-Ypu0rV48niwF5zHChrhQ,2/25/2008,4,2,30,Restaurant
3,3765 S Las Vegas Blvd,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'beer_and_wine', 'Caters': False, 'HasTV': True, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantAttire': 'casual', 'RestaurantReservations': True, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 2, 'BikeParking': False, 'RestaurantDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",EkuSy_kM8dpGrlb2pTxCBw,"['Restaurant', 'Barbeque', 'Korean']",36.1050193,-115.171768,Ginseng Korean BBQ II,89109,291,3,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Ginseng BBQ was recommended by a few friends so we stopped by for dinner. From the Vegas Strip, it isn't obvious where it is, at least for anyone who can't read Korean! (Their name is visible in Korean on the shopping center sign I believe.)It's a spacious venue, and I saw a decent crowd of Koreans serving AND dining, always a good sign.We opted for BBQ. Our kalbi's marinade was spicy spicy spicy! The banchan plates were good, too (mmmmmm kimchi). Surprisingly, this restaurant charges for lettuce. (Yes, lettuce. I've never seen that before! A friend actually ordered the lettuce... high-roller!)Service was fine, the servers even cooked the meat we ordered on our table grills. (My friend won a LOT of money and the servers got excited when he showed us his high-value chips, even coming around to the table more often, hah!)Despite the high prices for meat (and, c'mon, lettuce?), good service, and delicious meats, this is a great place for Korean BBQ, late night or otherwise. Recommended!",1,1,4ySO2Hq-hNE1DFNst1pZfA,1/4/2008,4,2,28,Restaurant
4,4888 Dean Martin Dr,"{'RestaurantTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 1, 'WheelchairAccessible': True, 'BikeParking': True, 'RestaurantDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",nVAJZ6BJ9PPlxDXn976R6A,"['Restaurant', 'Burgers', 'Fast Food']",36.1013195,-115.1821862,In-N-Out Burger,89103,954,4,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"We attempted to walk to this In-N-Out (which is possible, by the way) but since we were pretty hungry (and continuing our walk involved crossing a relatively dangerous street), we hailed a taxi which took us the last quarter mile there.The parking lot was packed with cars. Other taxis were taking folks here (and I might have seen a limo). The line was pretty long, snaking almost outside the door. Diners were eating outside as well as inside, but while waiting, we somehow managed to secure a few tables for our group. Service was going as fast as they could; there simply was an amazing mass of customers.I ordered a 3x3 Animal Style. As usual, it was DELICIOUS (either you love In-N-Out or you don't, I fall in the former camp). One of my friends requested hot peppers and they came out in little baggies - that's the first time I've seen that at an In-N-Out, and it made my burger even better. If you like In-N-Out, this is one of the good ones, which makes everything just the way they usually do it. Recommended for a good, greasy fast food meal off the Strip, nothing more.",4,5,TLJDQodZfSNAmEjF4QaWCQ,3/21/2008,4,2,26,Restaurant
5,1201 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantReservations': True, 'BusinessAcceptsBitcoin': False, 'RestaurantTableService': True, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': True, 'OutdoorSeating': False, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'DietaryRestrictions': {'dairy-free': False, 'gluten-free': False, 'vegan': False, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}}",EWbNTPW0co_X4lZRB-QTLQ,"['Chinese', 'Restaurant', 'Thai']",36.1566742,-115.1484497,Ocha Thai Cuisine,89104,312,4,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Galloping honeypots, Ocha Thai is a find![1] Their plain Jane interior may not impress, but their Thai and Chinese cooking will.Considering Ocha is in the shadow of the Stratosphere, they might seem to be a bit of a dive, especially in comparison to other spots on the Strip. On the contrary, Ocha is clean, and their service wicked fast: we were seated, had our orders taken, and got our food before we could blink. For their speed, we never were rushed.Everything was expertly prepared, from start to finish. We enjoyed their beef jerky appetizer ($8.95) - chunks of tender spiced beef brisket, sundried then deep-fried - as much as the sweet sauce that came on the side. Their chicken tom yum soup (8.95), flavored with mushrooms, lemongrass, chili and lime juice, helped ward off hunger.For entrees, try their pad thai chicken (8.95), stir-fried with bean sprouts, and a lime on the side. It's slightly sweet, with a perfect, light texture. A few plates of combination (pork, chicken, beef) fried rice (9.95/plate) rounded off our meal nicely. (Somehow we ended up with sticky rice too, but I didn't try any.)Recommended for a comfortable, affordable lunch.[1] Thanks Vy for taking me here! Getting here was an adventure, but worth the effort.",12,9,MS8tvRYuQGMex2-tXx8keg,12/22/2008,5,9,25,Restaurant
6,3131 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantReservations': False, 'BYOB': False, 'RestaurantTableService': True, 'Corkage': False, 'RestaurantTakeOut': False, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantPriceRange2': 3, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'RestaurantCounterService': False}",2weQS-RnoOBhb1KsHKyoSQ,"['Buffets', 'Restaurant']",36.12688722,-115.16559,The Buffet,89109,4018,3.5,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"""Classy"" and ""buffet"" usually don't go together, but the Wynn nails it: their buffet is the best dinner buffet on the Strip I've had thus far. It ought to be, for the price ($40).Stations represent different ""ethnic"" foods, your typical Indian, typical Chinese, some Thai. The salad bar was fresh and inventive. The lamb was amazingly moist, the highlight of the meat offerings. The charcuterie was an unexpected treat, little pickles and all, and the dessert area impressed me, even without a sweet tooth. Of course, king crab legs never disappoint.Friends and I decided to celebrate a birthday here, so after we let our server know, we were provided a dessert assortment, complete with candle, while waiters sang ""Happy Birthday"". Thoughtful!The buffet has a ton of seating, and you don't feel like you're on a farm thanks to strategically-placed partitions which provide a sense of privacy. The ambiance is money - one should expect nothing less from the Wynn.",14,13,sTZrFGELogFdSoRxv5PYgw,12/6/2009,4,7,24,Restaurant
9,"5300 Spring Mountain Rd, Ste 107","{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': True, 'WiFi': 'no', 'RestaurantReservations': True, 'RestaurantTableService': True, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantCounterService': True}",vtkJXE_Vdz27rWm6mfAw6Q,"['Restaurant', 'Dim Sum', 'Chinese', 'Asian Fusion', 'Cantonese']",36.1267101,-115.213915,Cathay House Restaurant,89146,235,3,Nevada,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"I came here for dim sum on a Sunday last month. Even for a restaurant of its size (not tiny), it was crowded (with locals or tourists, I couldn't tell - well, not without staring!), so do arrive early to secure a table. Unsure if they take reservations.Service was difficult to flag over for help, but when we did attract them, they were happy enough to oblige our random requests for more hot sauce, photos (!), and, of course, more food. Speaking of the food, their dim sum plates were tasty and totally worth it:- scallop dish was flavorful (first time I've had it too!)- black bean spare ribs were melt-in-your-mouth tender- love the blankets- dumplings were tasty and well-filled- chicken feet were goooood- tofu dessert (made in-house) was surprisingly goodNot sure about all the negative press for this place, but I had a delicious time at Cathay House. Recommended!",1,1,WCi569TeBn4eTC_fofe1vw,11/27/2007,4,1,19,Restaurant
10,1601 Penn Ave,"{'RestaurantTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 2, 'BikeParking': True, 'RestaurantDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}}",u4sTiCzVeIHZY8OlaL346Q,"['Argentine', 'Seafood', 'Restaurant', 'Latin American']",40.449043,-79.987573,Gaucho Parrilla Argentina,15222,1267,4.5,Pennsylvania,JjXuiru1_ONzDkYVrHN0aw,999,8/23/2009,224710,977,7,188209,104,9.075317947,"Yeah, I know what you're thinking! 3 stars for Gaucho Parrilla Argentina? You're CRAZY!!!That actually may be a true statement about me, since my mother has never had me tested! But nevertheless, I did not enjoy the charred, ashy flavor of their meats (particularly the ribeye steak sandwich). I didn't add any additional toppings (which might have helped), but I wanted to taste the purity of the meat. Also, the ratio of meat to veggies was ridiculously lopsided with thick cut roasted veggies being probably 70% of the sandwich. Considering the cost of the sandwich, I would have expected more meat.  Although I liked the burger much more, I was not a fan of the hard breads they use to compliment their sandwiches. I also did not enjoy the strong flavor of the roasted potatoes and the beef empanadas were just okay. My tweenage kids took a bite and refused to eat any more of their food. They have a serious dislike for anything that has a burnt flavor and I honestly couldn't argue with them. I love a decent char, but today it was like eating cigarette butts from an ashtray. I felt so bad because I really hyped this place up to them after reading reviews and getting recommendations prior to my visit. So I took them down the street for a bowl of pho to make amends. Another visit may yield a better result, but as a first-time experience goes, the food did not live up to the hype. The restaurant itself, the decor and the staff on the other had were awesome! What an eclectic collection of humans! FINAL THOUGHTSThis place came highly recommended, which makes me dread writing this review. I definitely don't want this to be a slap in the face to all the awesome yelpers who suggested Gaucho as THEE place to visit for my one day trip to Pittsburgh, but I gotta be honest. Besides, there are so many positive reviews here that I doubt mine will even be noticed. Ribeye steak sandwich (3.25 stars)Beef Empanada (3 stars)SteakBurger (3 stars)Roasted potatoes (1 star)Decor/staff (5 stars)2016/82",150,135,uCeBaI2Gixn7m2MBRX51Fg,5/24/2016,3,117,24,Restaurant
11,1611 Penn Ave,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'no', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': False, 'RestaurantPriceRange2': 1, 'BikeParking': True, 'RestaurantDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}}",P4w7kxvrr4odvXdyQzXIvw,"['Sushi Bars', 'Restaurant']",40.44907368,-79.98729967,Maiku Sushi,15222,153,3.5,Pennsylvania,JjXuiru1_ONzDkYVrHN0aw,999,8/23/2009,224710,977,7,188209,104,9.075317947,"This may be the most oil free pho I've ever eaten!Simply put, we came to Pittsburgh to specifically eat at the yelp famous Gaucho Parrilla Argentina just down the street. My kids hated the super charred flavor of their burgers and rib eye steak sandwich, so I had to quickly find an alternative eating venue to satisfy their teenage hunger. Although Gauchos is Pittsburgh's highest rated restaurant, I must admit I was not a fan, but I was not nearly as disgusted as my kids.  We ate a few bites there and decided to give Vietnam's Pho a try since we'd parked practically right in front of it anyway. Yelp reviews had the overall rating here @ 3.5 stars, so I figured I wouldn't be too disappointed. However, the lack of customers and weirdly abandoned looking entrance made me pause. The entrance looks like the lobby of an old apartment building. You then walk through more doors into another space that serves as their to-go sandwich shop before walking through yet another door into the main dining area. It was dark and totally weird with a fish tank dead smack in the middle of the room, but we were hungry and decided to give it a try anyway. So glad we did!The pho came out piping hot in a nice size bowl. I was immediately impressed that I barely saw any oil droplets on the surface. This is either an indication that they don't cook their broth using beef bones/stock or they meticulously skim the surface to give you the cleanest broth experience possible. Honestly, it may be the former! But that old familiar pho flavor I love was apparent, so I am giving them the benefit of the doubt and assume they did the latter. FINAL THOUGHTSGood pho at a great price. This is not the place you'd come for ambiance, but I'd recommend coming here for the pho... fuh-sho! 2016/74",113,108,J1SfYjB4mINMF4H-B9_sGw,5/3/2016,4,87,7,Restaurant
