,business_category,user_id,review_count,yelping_since,useful,fans,elite_count,compliment_count,months_since,final_score,name
0,Restaurant,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,Dave
1,Shopping,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,Dave
2,Beauty & Spa,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,Dave
3,Restaurant,JjXuiru1_ONzDkYVrHN0aw,999,8/23/2009,224710,977,7,188209,104,9.075317947,Richard
4,Restaurant,VHdY6oG2JPVNjihWhOooAQ,1837,7/21/2005,38872,1791,13,32124,153,8.463639208,Jessica
5,Shopping,VHdY6oG2JPVNjihWhOooAQ,1837,7/21/2005,38872,1791,13,32124,153,8.463639208,Jessica
6,Health & Medical,VHdY6oG2JPVNjihWhOooAQ,1837,7/21/2005,38872,1791,13,32124,153,8.463639208,Jessica
7,Beauty & Spa,VHdY6oG2JPVNjihWhOooAQ,1837,7/21/2005,38872,1791,13,32124,153,8.463639208,Jessica
8,Restaurant,nkN_do3fJ9xekchVC-v68A,1327,10/12/2004,31788,1820,13,8800,162,8.376683475,Jeremy
9,Shopping,nkN_do3fJ9xekchVC-v68A,1327,10/12/2004,31788,1820,13,8800,162,8.376683475,Jeremy
10,Beauty & Spa,nkN_do3fJ9xekchVC-v68A,1327,10/12/2004,31788,1820,13,8800,162,8.376683475,Jeremy
11,Restaurant,om5ZiponkpRqUNa3pVPiRg,2578,1/18/2006,83693,842,12,8940,147,8.312731151,Andrea
12,Shopping,om5ZiponkpRqUNa3pVPiRg,2578,1/18/2006,83693,842,12,8940,147,8.312731151,Andrea
13,Health & Medical,om5ZiponkpRqUNa3pVPiRg,2578,1/18/2006,83693,842,12,8940,147,8.312731151,Andrea
14,Beauty & Spa,om5ZiponkpRqUNa3pVPiRg,2578,1/18/2006,83693,842,12,8940,147,8.312731151,Andrea
15,Restaurant,gjhzKWsqCIrpEd9pevbKZw,3138,9/21/2005,22779,1118,13,12456,151,7.793269786,Miriam
16,Shopping,gjhzKWsqCIrpEd9pevbKZw,3138,9/21/2005,22779,1118,13,12456,151,7.793269786,Miriam
17,Beauty & Spa,gjhzKWsqCIrpEd9pevbKZw,3138,9/21/2005,22779,1118,13,12456,151,7.793269786,Miriam
18,Restaurant,iLjMdZi0Tm7DQxX1C1_2dg,2258,7/31/2007,72300,2135,10,25907,129,7.733287303,Ruggy
19,Restaurant,G5LXEaxhQMF_BVjNHkVr7g,1884,12/7/2004,10029,647,13,8230,160,7.460535375,Nish
20,Beauty & Spa,G5LXEaxhQMF_BVjNHkVr7g,1884,12/7/2004,10029,647,13,8230,160,7.460535375,Nish
21,Restaurant,ysCBsXWPB-LAiewVS3jZfQ,3253,11/8/2006,48621,1266,11,30749,137,7.440731384,Jando
22,Shopping,ysCBsXWPB-LAiewVS3jZfQ,3253,11/8/2006,48621,1266,11,30749,137,7.440731384,Jando
23,Health & Medical,ysCBsXWPB-LAiewVS3jZfQ,3253,11/8/2006,48621,1266,11,30749,137,7.440731384,Jando
24,Beauty & Spa,ysCBsXWPB-LAiewVS3jZfQ,3253,11/8/2006,48621,1266,11,30749,137,7.440731384,Jando
25,Restaurant,q_QQ5kBBwlCcbL1s4NVK3g,1213,3/14/2005,51946,1335,10,15666,157,7.337184721,Jane
26,Shopping,q_QQ5kBBwlCcbL1s4NVK3g,1213,3/14/2005,51946,1335,10,15666,157,7.337184721,Jane
27,Shopping,23J4vG9_xxxdnmi8CBX7Ng,1659,10/12/2004,49143,1222,13,22922,162,8.480747467,Joan
28,Shopping,nzsv-p1O8gCfP3XijfQrIw,4051,4/12/2005,1598,680,13,10994,156,7.28519879,Anita
29,Beauty & Spa,nzsv-p1O8gCfP3XijfQrIw,4051,4/12/2005,1598,680,13,10994,156,7.28519879,Anita
30,Shopping,5MCBLBxr10NLUKZ4AboAMg,2766,9/7/2006,37479,1074,11,26465,139,7.169408845,Colleen
31,Beauty & Spa,5MCBLBxr10NLUKZ4AboAMg,2766,9/7/2006,37479,1074,11,26465,139,7.169408845,Colleen
32,Home & Service,5F_ASUSCHFf3YotkKioZ5w,1242,8/21/2005,6443,164,13,2596,152,7.070820257,Ellen
33,Health & Medical,5F_ASUSCHFf3YotkKioZ5w,1242,8/21/2005,6443,164,13,2596,152,7.070820257,Ellen
34,Home & Service,UQFE3BT1rsIYrcDvu_XVow,1379,7/22/2005,274,98,13,478,153,6.937441615,Mike
35,Home & Service,8DEyKVyplnOcSKx39vatbg,807,6/9/2007,81035,511,9,10914,130,6.767160481,Philip
36,Health & Medical,8DEyKVyplnOcSKx39vatbg,807,6/9/2007,81035,511,9,10914,130,6.767160481,Philip
37,Home & Service,rt3PC7WCgCKsoufmQJELfw,1012,7/6/2005,2942,325,12,6504,153,6.719279585,Teri
38,Health & Medical,rt3PC7WCgCKsoufmQJELfw,1012,7/6/2005,2942,325,12,6504,153,6.719279585,Teri
39,Home & Service,53bZ_EsXH71L7iFs5MP9_w,1966,2/10/2006,1709,331,12,2676,146,6.599631128,Cynthia
40,Health & Medical,53bZ_EsXH71L7iFs5MP9_w,1966,2/10/2006,1709,331,12,2676,146,6.599631128,Cynthia
41,Home & Service,8h1r7mXd-H225yDgc4EMPg,1147,11/23/2005,6339,55,12,252,149,6.592182379,Sarah
42,Health & Medical,8h1r7mXd-H225yDgc4EMPg,1147,11/23/2005,6339,55,12,252,149,6.592182379,Sarah
43,Home & Service,dIIKEfOgo0KqUfGQvGikPg,1817,8/10/2007,20789,775,11,11272,128,6.553570369,Gabi
44,Home & Service,2hMNc8G87MGYw4PomxT8AQ,1622,12/10/2005,790,171,12,551,148,6.53179264,Cassie
45,Home & Service,_cUtxCvCccwgNJzD5I0cDA,1445,12/22/2006,25775,230,11,15325,136,6.522481211,Kyle
46,Home & Service,lufa4bHQd3XLYQE1zXis0g,1836,6/12/2006,208,207,12,1315,142,6.465531227,Lisa
47,Health & Medical,Xj0O2l0bp633ebmG468aZw,4559,7/18/2005,52,180,13,975,153,6.970385581,Andrew
48,Health & Medical,eKUGKQRE-Ywi5dY55_zChg,1973,1/20/2008,51220,1962,8,121527,123,6.786619732,Cherylynn
49,Beauty & Spa,m07sy7eLtOjVdZ8oN9JKag,3855,7/22/2006,116,1572,12,14128,141,7.082150247,Ed
