,attributes,business_id,categories,latitude,longitude,name,postal_code,business_review_counts,business_stars,state,user_id,user_review_count,yelping_since,user_useful_count,fans,elite_count,compliment_count,months_since,final_score,text,buisness_review_useful_count,cool,review_id,review_date,review_stars,funny,sentiment_score,business_category
0,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': True, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'free', 'RestaurantAttire': 'casual', 'RestaurantReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 2, 'BikeParking': True, 'RestaurantDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",KCVnCb6TvTzoDp4t-Qf4wQ,"['American (Traditional)', 'Chinese', 'Restaurant', 'Kosher']",33.50796,-112.065353,Segal's Oasis Grill,85014,35,3,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Restaurant could use a remodel. Our waitress, Joni, was very nice and efficient. My fiancxc3xa9 and her mom started with hot and sour soup and said it's the best they had. The beef potstickers were very good. Soft and the meat was tender and seasoned well. We also shared schnitzel which is deep fried chicken. It was good. I ordered the orange beef with lo mein and it was great. Lo mein was awesome. My fiancxc3xa9 loved it too. My fiancxc3xa9 ordered beef lo mein and I had some. It was awesome. My fiancxc3xa9's mom ordered beef and mushrooms with fried rice and shared with us. Beef was tender and mushrooms were seasoned well. The fried rice was over cooked. We ended our meal with parve cupcakes. They were pretty good. We will definitely come back because my fiancxc3xa9 and her mom love Kosher food.",23,18,X5VUfI6YPSPE-5Mbq4qSTA,7/11/2017,3,10,39,Restaurant
1,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantReservations': True, 'BikeParking': True, 'RestaurantTakeOut': True, 'GoodForKids': True, 'HappyHour': True, 'GoodForDancing': False, 'DogsAllowed': True, 'RestaurantTableService': True, 'OutdoorSeating': True, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'CoatCheck': False, 'Smoking': 'outdoor', 'WheelchairAccessible': True}",Gw-ozqLSHoP3BQPKaiXJGg,"['Restaurant', 'American (New)', 'Pubs', 'American (Traditional)', 'Nightlife', 'Arts & Entertainment', 'Music Venues', 'Sports Bars', 'Lounges', 'Bars']",33.3760012,-111.919865,The Watershed,85283,380,3,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Came here at the recommendation of one of my employees who thought this place would be the perfect spot to propose to my girlfriend. This was without question an awesome spot. The views were great and inside and outside are up kept very well. The staff went out of there way to make it an amazing experience we won't forget. She said yes by the way ;). Now for the food, I had the chicken enchiladas in red sauce wth a side of beans and rice. The sauce was spicy sweet, reminded me of mole sauce. I enjoyed them. I also tasted my sister's nachos and liked them a lot. My girl had the salmon wrap with kettle chips and she enjoyed it. Everyone at the table was satisfied.",4,2,gw7QGfGptlvIMQ26d0kRPA,1/29/2017,5,0,27,Restaurant
2,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'Caters': False, 'WiFi': 'free', 'RestaurantReservations': False, 'BikeParking': True, 'RestaurantTakeOut': False, 'GoodForKids': True, 'HappyHour': True, 'GoodForDancing': False, 'RestaurantTableService': True, 'OutdoorSeating': True, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': False, 'BestNights': {'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}, 'ByAppointmentOnly': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'CoatCheck': False, 'Smoking': 'no'}",vrKcFQPxj1Zzyj93yl-t6g,"['Golf', 'Restaurant', 'Bars', 'Nightlife', 'American (New)', 'Active Life']",33.32018979,-111.7415746,Topgolf,85295,328,4,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Awesome time and great food. Although I came here in October, I have been here during the summer and they have powerful fans to cool their guests down. The chips with queso is awesome as is all of their chicken wing varieties. The tater tots are great, too. Prices are decent and they have a nice bar inside that serves practically all popular alcoholic beverages. Staff is very friendly and prompt.",1,1,5XVwHOuJDjwlaU_IbJGHNQ,10/6/2016,5,1,25,Restaurant
3,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'full_bar', 'Caters': True, 'HasTV': True, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 2, 'BikeParking': True, 'RestaurantDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",RztX0zV7ObHZD08SDUhI0Q,"['Gluten-Free', 'Restaurant', 'Pizza', 'Italian']",33.640845,-112.0476105,Spinato's Pizzeria,85022,401,4.5,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Good location, exceptional service and food. Maria was our waiter and was helpful with quick. She also has a great sense of humor. The food was excellent. The stuffed mushrooms were cooked well and the cheese blended perfectly. The bread with mozzarella was great as was the Sicilian crust pizza my girl and I shared. My girl's mom got the 4 cheese ravioli topped with vodka sauce and she said it was delicious.",1,0,9gn8SGBCiqcdWPTpjgdX7w,12/10/2016,5,0,23,Restaurant
4,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantReservations': False, 'RestaurantTableService': True, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': True, 'OutdoorSeating': True, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'DriveThru': False}",VsxfPc4kbDuvyP4HTsqRBQ,"['Burgers', 'Restaurant', 'American (Traditional)']",33.638222,-112.3618699,Red Robin Gourmet Burgers,85374,130,3,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Huge restaurant with a nice bar that has a lot of drink choices. Menu is expansive. Great choice of appetizers and desserts in addition to their lunch/dinner menu. My favorite burger is the Red Robin Royal as it's a 6 ounce patty topped with cheese, bacon, sunny side up egg, and their special sauce. It's awesome! The fried fish sandwich is one of my go tos as well. The French fries are tasty but I enjoy their onion rings more. Fried pickles as an appetizer is a good way to start your Red Robin experience and the mud pie is a good way to end it. Friendly and fast service.",40,33,TaVQzcLGuPncy1WaXDVuMg,8/20/2017,4,23,23,Restaurant
5,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}, 'Alcohol': 'full_bar', 'Caters': False, 'HasTV': False, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 2, 'BikeParking': True, 'RestaurantDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",IdNMRM2U4GK7zbsD7R2BWA,"['Salad', 'Burgers', 'Food', 'Restaurant', 'Gluten-Free', 'Beverage Store', 'Breakfast & Brunch', 'Waffles', 'American (Traditional)']",33.6394534,-112.1232346,US Egg,85053,196,4,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"The pancakes here are delicious. All of the pancake varieties here are great. My preference is the chocolate chip only because I love chocolate. The Italian omelet with pepperoni, sausage, mushroom, marinara and mozzarella is delicious, too. It's like eating a pizza with no bread. I also love the sweet potato fries here. Staff is friendly, courteous and efficient.",0,0,Gea1PKvI2tcaL6mzCVdL_w,8/1/2016,5,0,22,Restaurant
6,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'Caters': True, 'HasTV': True, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 2, 'BikeParking': True, 'RestaurantDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",cxsN3mkioAXuOLKy04QpyA,"['Pizza', 'Salad', 'Italian', 'Restaurant']",33.6353323,-112.2345458,Giordanos - Arrowhead,85382,318,3.5,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Very friendly and accommodating staff. Server checked in at the right moments and came across as genuine in making sure we were ok. The mozzarella triangles were awesome. They are not stingy with cheese here. I ordered a personal deep dish with sausage and mushroom and it was good. The crust was harder than I would have preferred but it was good. My fiancxc3xa9's mom and sister in law ordered a gluten free pizza with mushroom on one half and green olives on the other. It was pretty good. Everyone was satisfied. Restaurant was clean, they have good lunch specials, and deliver.",27,24,BgOSwMuwWnr4N5J9bxVoXQ,7/4/2017,4,15,22,Restaurant
7,"{'Alcohol': 'beer_and_wine', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'Caters': False, 'WiFi': 'no', 'RestaurantReservations': False, 'BusinessAcceptsBitcoin': False, 'RestaurantTableService': False, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': True, 'OutdoorSeating': True, 'RestaurantPriceRange2': 1, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'DriveThru': False}",UIU7tug_Y-qVv_aLt7NN4g,"['Fast Food', 'Pizza', 'Restaurant']",33.29674042,-111.7436667,MOD Pizza,85295,258,4.5,Arizona,PcvbBOCOcs6_suRDH7TSTg,1071,8/16/2012,20586,159,2,5294,68,2.062390025,"Amazing pizza and service! Location is great, too. I love that you can get as many toppings as you want and still pay the same price as a plain cheese pizza. My favorite toppings to get on my pizza are: pepperoni, salami, spicy Italian sausage and black olives. I also love creating a buffalo chicken pizza with bacon. Pizza is melt in your mouth good. Drink choices are Coca-Cola, Ice Teas, Lemonade and beer. Top your meal off with a freshly made chocolate shake. They're awesome!",37,32,WGlLCCh7QSjSYAZ7myxE7w,7/24/2017,5,26,22,Restaurant
8,"{'RestaurantTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'HasTV': True, 'RestaurantGoodForGroups': True, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'RestaurantReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantPriceRange2': 1, 'BikeParking': True, 'RestaurantDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",j3csEfGzkwnXATdRoZDT-A,"['Restaurant', 'Mexican']",33.3186906,-111.9437771,Casa Reynoso,85226,36,3.5,Arizona,H3KluKXf1mp3etCToCJhqg,399,6/17/2012,36,10,3,25,70,2.023055164,"I almost gave only 3 stars just to trick people into not going to this wonderful and delicious restaurant (now that I found it, I don't want it to become so crowded I can't get in).  I have often visited the Globe location, and decided to try the location on Ray Road (Chandler) since I live pretty close by.  No Happy Hour :-(, but, the margaritas are absolutely delicious (although only mildly strong) and inexpensive.  Like Chile Rellenos?  They make the best!  Enchiladas are really excellent as well.  Taco's are good, but about the same as any other good Mexican restaurant.  Chips are perfect, salsa was good, but a little hot (which I normally love, but this was just ""very good"" in my opinion).  Service as a bit slow, but worth the wait!",0,0,N1vzQPbgQgKEq-dYArPOug,2/28/2014,5,0,44,Restaurant
9,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': True, 'WiFi': 'no', 'RestaurantReservations': True, 'BYOB': False, 'RestaurantTableService': True, 'RestaurantTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': True, 'OutdoorSeating': False, 'RestaurantPriceRange2': 2, 'RestaurantDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantCounterService': False}",jAsvKe4-SteA-ZgyfVPoTQ,"['Caterers', 'Mexican', 'Event Planning & Services', 'Restaurant']",33.4926708,-112.0734808,Macayo's Mexican Restaurant,85012,231,3,Arizona,H3KluKXf1mp3etCToCJhqg,399,6/17/2012,36,10,3,25,70,2.023055164,"One of my friends has been eating at this location for years and highly recommended it - I can see why.  Our waitperson (Esperanza) was the best waitperson I have ever had at any restaurant, ever (and several of us made sure to tell the manager)!  She worked very hard to make sure our large party was 100% satisfied.  And, since I was a first timer, she brought all of our table a free appetizer (3 sets of appetizers) - wow.  And the food, absolutely some of the best I have tasted.  The only thing I didn't care for was the salsas (sorry Macayo's) - for whatever reason, I just didn't like them.  I had the chile relleno and enchiladas - perfection!  The rice and beans are fabulous.  I loved this place and hope to return soon!",1,0,joCEFQ8QPDMjg6aYhFn0gA,2/9/2014,5,0,29,Restaurant
