,Unnamed: 0,text,useful,business_id,cool,review_id,date,stars_x,funny,user_id,sentiment_score,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars_y,review_count,is_open,categories
0,4386516,"b""Galloping honeypots, Ocha Thai is a find![1] Their plain Jane interior may not impress, but their Thai and Chinese cooking will.\n\nConsidering Ocha is in the shadow of the Stratosphere, they might seem to be a bit of a dive, especially in comparison to other spots on the Strip. On the contrary, Ocha is clean, and their service wicked fast: we were seated, had our orders taken, and got our food before we could blink. For their speed, we never were rushed.\n\nEverything was expertly prepared, from start to finish. We enjoyed their beef jerky appetizer ($8.95) - chunks of tender spiced beef brisket, sundried then deep-fried - as much as the sweet sauce that came on the side. Their chicken tom yum soup (8.95), flavored with mushrooms, lemongrass, chili and lime juice, helped ward off hunger.\n\nFor entrees, try their pad thai chicken (8.95), stir-fried with bean sprouts, and a lime on the side. It's slightly sweet, with a perfect, light texture. A few plates of combination (pork, chicken, beef) fried rice (9.95/plate) rounded off our meal nicely. (Somehow we ended up with sticky rice too, but I didn't try any.)\n\nRecommended for a comfortable, affordable lunch.\n\n[1] Thanks Vy for taking me here! Getting here was an adventure, but worth the effort.""",12,EWbNTPW0co_X4lZRB-QTLQ,9,b'MS8tvRYuQGMex2-tXx8keg',b'2008-12-22',5,9,6s-g2vFu12OemhiK3FJuOQ,25,"""Ocha Thai Cuisine""",Downtown,"""1201 Las Vegas Blvd S""",Las Vegas,NV,89104,36.1566742,-115.1484497,4,312,1,Chinese;Restaurants;Thai
1,4408807,"b""Tri Express is the size of a walk-in closet yet packs a ton of personality in both decor and personnel: master sushi chef Tri is friendly (haven't cleaned my hand since shaking his!) and his place is just as bright and welcoming.\n\nAnd the sushi's delicious.\n\nWhile this BYOB is a charming date spot, sizable parties may wish to opt for take away. Get the omakase menu to go (no joke). Everything is expertly prepared and packaged, ready to handle the trek to your flat. The sushi is marvelously fresh, the sashimi heavenly, and the flavors creative (try the rice crackers topped with seafood). Plus, there's plenty of wasabi and ginger if needed.\n\nBring cash.""",17,GuAa3tTE3zSr05sUOQYXzA,12,b'P_dC7OMTlC39CnKRIzye1Q',b'2010-08-11',5,4,6s-g2vFu12OemhiK3FJuOQ,21,"""Tri Express""",Plateau-Mont-Royal,"""1650 Avenue Laurier E""",Montréal,QC,H2J 1J2,45.5353579,-73.5820254,4,80,1,Japanese;Restaurants;Sushi Bars
2,4408825,"b""The Venetian is my favorite casino hotel. For New Years Eve, we reserved several suites in the Venezia Bella towers. They're wonderfully opulent affairs, with amenities like a full bath, soft beds, and lots of space, perfect for pregaming. We were able to walk downstairs to Tao (NOT my favorite place to party). The Venetian is secure, has a friendly concierge staff that's easy to work with, a convenient mini-store with water, booze, and souvenirs, and a shop where you can do office-type things like buy CD-Rs (I actually needed one during my trip, go figure).\n\nTheir food court is crap, from the Pizzeria da Enzo to the San Gennaro Grill. Roam the strip for more entertaining and less expensive dining options. Heck, even Denny's is more bang for your buck.\n\nLodging is expensive, food is expensive, everything is expensive! You can SMELL the money there. Gambling in general is expensive, but here it's a rule. You're in Vegas, so just close your eyes and hand over your credit card. Highly recommended!""",4,Wxxvi3LZbHNIDwJ-ZimtnA,2,b'tXk4lDHmUZ63jWwEisVAwA',b'2008-06-09',5,2,6s-g2vFu12OemhiK3FJuOQ,21,"""The Venetian Las Vegas""",The Strip,"""3355 South Las Vegas Boulevard""",Las Vegas,NV,89109,36.121189,-115.169657,4,3101,1,Casinos;Hotels;Resorts;Arts & Entertainment;Event Planning & Services;Hotels & Travel
3,4408827,"b""Planet Hollywood's Playing Field Lounge is a chic venue, with an attractively lit bar full of bottles. It's small, so this is a good spot to start the night. Friends and I lounged on a couch, grabbing drinks before dinner.\n\nMy server (Deb) was professional yet amusing, and had a flair for presentation. Like a ninja, she replaced my waters and got me shots before I even noticed; red Washington apple shots are truly delicious, and she wasn't stingy with the alcohol.\n\nVisit the Playing Field to enjoy a pleasant atmosphere, wonderful service (ask for Deb!), and reasonable prices (for a casino). I had an EXTREMELY positive experience here, so my star-rating reflects that.""",5,2RCB307uNxQekVQEr4IrKQ,2,b'bOvn3eJGDeKZ3WSJlB95IQ',b'2008-12-19',5,2,6s-g2vFu12OemhiK3FJuOQ,21,"""The Playing Field Lounge""",The Strip,"""3667 S Las Vegas Blvd""",Las Vegas,NV,89136,36.109588,-115.17254,3,9,1,Sports Bars;Nightlife;Bars
4,4386531,"b'We reserved one of Sho-dan\'s private, upstairs dining rooms. Even though we were isolated, service was ever-present, personable, and kept our water glasses topped off. This downtown Montreal restaurant is chic, lounge music piped through to complete their ""chicness"". They were busy that Friday, with most table and sushi bar seating filled. (Speaking of bars, I had a glass of white, and tried a tasty lycheetini.)\n\nThe highlight of Sho-dan\'s arsenal is their assortment of specialty ""concept"" rolls which can be extreme in presentation, and atypical in taste, even to the most seasoned sushi ranger. My friends are Japanese restaurant enthusiasts and loved the quality of cuisine, from the tempura, to the slices of raw goodness, down to the perfectly matching sauces for each dish. Don\'t forget to get dessert sushi - the mango one is amazing.\n\nDinner at Sho-dan blew my MIND. Be warned, prices are higher than average, but it\'s worth splurging for, just this once. (Credit cards accepted.)'",8,m0daTmZ6RGbpgrcb8TqByw,3,b'tj8voK0OHOpa79AdcX0M8Q',b'2008-08-18',5,2,6s-g2vFu12OemhiK3FJuOQ,18,"""Restaurant Sho-Dan""",Ville-Marie,"""2020 Metcalfe Rue""",Montréal,QC,H3A 1X8,45.501747,-73.574627,3.5,41,1,Sushi Bars;Japanese;Restaurants
5,4386532,"b""I've seen Alegria (in Philadelphia, PA) and was pleased to see the same high quality presentation and music in O. The high-divers, cross-divers, and the guy who was chillaxing while on fire were all amazing, as were the endless list of other performers that were there.\n\nO took it to the next level with their diving pool stage/setup. Watching folks swim synchronously and never come up for air (not from this side of the pool, that is), and watching folks slowly sink into the water without a care and not come back up was as mysterious as a Cirque du Soleil show can get.\n\nO kept my attention the entire time - recommended!""",3,BH9z7IJ4zydAqgwsbqoVZQ,3,b'RrslVQOrQ8ZWITsA7_Cuhw',b'2007-10-21',5,3,6s-g2vFu12OemhiK3FJuOQ,9,"""Cirque du Soleil - O""",The Strip,"""Bellagio Las Vegas, 3600 S Las Vegas Blvd""",Las Vegas,NV,89109,36.114062,-115.17726,4.5,1420,1,Arts & Entertainment;Performing Arts
6,4386501,"b""When thinking of casinos off the Strip, there's a temptation to think of them as modest, and merely meant for locals. Red Rock's luxurious facility both surprised and impressed me - there's a lot to do!\n\nThis casino resort has a cornucopia of features, including a bowling alley, spa, food court, multiple restaurants, and conference center capabilities. Their hotel lobby lounge features a 32-foot long chandelier, draped by an elegant staircase. There's a few stores, and a Starbucks overlooking the lobby. The casino's decor is sharp, and the restaurants lining it mirror that theme. The nearly 3,000 slot machines can confound if you're trying to find people, so pay attention to your surroundings.\n\nWe had a spacious suite near the spa, with a view of the Strip and top-notch amenities: modern decor, huge soft mattresses, a comfy couch, a widescreen plasma TV, and a convenient bottle of Patron (costs extra). Loved the bathroom, and the luxurious shower. The toilet had a phone by it, and the marble tub, a TV. Besides hearing wind whistling one morning (it was crazy windy out there), Red Rock's hotel, casino, and lounges all had a fit and finish that made our dollars feel well-spent.\n\nHotel service was stellar. When I needed help late-night, both Tanya (at the front desk) and a bellhop assisted. When we needed a random feminine hygiene product, not only did room service stock necessities, a staffer delivered the goods to our door minutes later. When hunger hit, concierge Stephanie pointed out some nearby Thai restaurants.\n\nIf you're planning on heading to the Strip, keep in mind that Red Rock is off-strip. If you're content with hailing a taxi, or are a local, this shouldn't be an issue.\n\nMy single regret from my stay at Red Rock? Not playing bingo in their huge bingo hall.""",13,RhEvP5flF6KoPriMHmVYGg,10,b'8YJasH-kOyQmyoOdrujQsQ',b'2009-01-11',5,8,6s-g2vFu12OemhiK3FJuOQ,6,"""Red Rock Casino Resort & Spa""",South Summerlin,"""11011 W Charleston Blvd""",Las Vegas,NV,89135,36.15641263,-115.3328469,3.5,1424,1,Hotels & Travel;Casinos;Beauty & Spas;Hotels;Day Spas;Event Planning & Services;Arts & Entertainment
7,4386512,"b'Sadly, this spot closed it\'s doors September 1st, 2008. According to CNN (http://www.cnn.com/2008/TRAVEL/09/01/star.trek.voyage.ending.ap/index.html), ""the attraction\'s owner ... and the Las Vegas Hilton, its landlord, couldn\'t agree on a new lease"". C\'mon, really?\n\nLooks like my lifelong dream -- marrying a hottie Trek fan on the bridge of the Starship Enterprise (and then having the marriage immediately annulled) -- has been crushed.\n\nWho wouldn\'t want to get married on the Enterprise?'",11,kQGw66MGiK4mIXfV_kVZTA,11,b'yWohDuwKhR-dmNpAYJsBdQ',b'2008-12-10',5,13,6s-g2vFu12OemhiK3FJuOQ,6,"""Star Trek the Experience""",Eastside,"""3000 Paradise Rd""",Las Vegas,NV,89109,36.1362575,-115.1512526,4.5,18,0,Restaurants;Arts & Entertainment
8,4386506,"b'Always dependable for late night tacos.\n\nThis is really a nostalgic review this spot when it was right by the Encore. It was the best to see hot messes while you were devouring hot messes. It was always packed as all hell.\n\nFor some reason it always amazed me that they took plastic.\n\nIf you happen to be in Vegas, this is worth a stop, even in the daytime.'",9,CiYLq33nAyghFkUR15pP-Q,8,b'krIJ3rYGAu8E52rjTV-Fhw',b'2015-04-14',5,7,6s-g2vFu12OemhiK3FJuOQ,2,"""Tacos El Gordo""",Downtown,"""1724 E Charleston Blvd""",Las Vegas,NV,89104,36.1584751,-115.1265495,4.5,1363,1,Restaurants;Mexican;Tacos
9,4408814,"b""From the mount, you've an impressive view of the city, even in poor weather.\n\nEven though there's tons of folks boating, running, and walking, there's still tons of space for you to have space. During the winter, hit up the ice rink for your ice rinking needs.\n\nCheck out the public art: sculptures fill at least one field here, and there's ducks all over. (Yes, ducks are public art.)""",13,BYnmPgDK8QD5VTeUodQoZA,13,b'jHw6de6bHgmlXjR59xMsoA',b'2010-08-05',5,10,6s-g2vFu12OemhiK3FJuOQ,2,"""Parc du Mont-Royal""",Ville-Marie,"""1260 Chemin Remembrance""",Montréal,QC,H3H 1A2,45.5008661,-73.5917993,4.5,296,1,Active Life;Parks
