,user_id,user_reviews_count,yelping_since,user_useful_reviews,fans,elite_count,compliment_count,months_since,final_score,text,user_review_useful_count,business_id,cool,review_id,review_date,user_review_stars,funny,sentiment_score,address,attributes,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,business_review_count,business_review_stars,state,user_name
0,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"We had dinner at Rosemary's on a Sunday last month.I arrived early and peppered the hostesses with questions on dishes they would recommend, the art on the walls (from local independent artists and available for purchase), and the age of the restaurant. I also found out they offer full-service catering. The hostesses were friendly (they put up with me) and knowledgeable.The place eventually became crowded. It was somewhat hilarious (and a little offensive) how one kid was watching a DVD at the table (who brings their kid - and their personal player - to a place like Rosemary's?). It was all the more obvious since the room was dim (relatively speaking: the tables in the front bar area were better lit). Our dining room suffered from ""mood lighting"" and would benefit from seat or table spotlights; I like to see what I'm eating. Others may argue that they don't want to see their date, so this place may be good for you!Service was outstanding. Our primary server and his assistant explained every dish (even the beer selections). Like Perrier's Le Bec-Fin, the servers were enthusiastic and placed the dishes on the table in unison. Unlike LBF, the servers didn't buzz around the table like insects.I was running on an hour of sleep, so I (wisely) refrained from having alcohol but a friend had the beer-meal pairings, which he enjoyed.A few of us ordered the chef's tasting menu ($70). Compared to typical tasting menus, the overall package was a generous size and we weren't able to finish it all. The courses which grabbed my attention (even through my sleepy stupor) were:- l'amuse bouche (I was amused)- First course: salmon tartar appetizer with watercress, caviar, crackers and a saffron sauce- Fourth course: rack of lamb with Kalamata olive mashed potatoes, fried arugula, and a rosemary bordelaise sauce (mmmmmm - quite savory and the lamb was oh-so-tender)Lackluster courses:- Second course: Panko crab boulettes with marinated cucumbers (flavorless)- Third course: Crispy skin striped bass with hushpuppies and a creole meuniere sauce (not too much flavor, and not a fan of fish)- Dessert: I don't remember the dessert - not my thing anyway.Rosemary's is 30-40 minutes from the Strip, but worth the cab ride there. It's popular and is booked quickly, so reserve your table in advance!",2,3m2XZFVraCiqjgLxHi5MdA,1,DknSI7Lgz072RHbdaTj79A,2007-11-06,4,0,47,"8125 W Sahara Ave, Ste 110","{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': True, 'BYOB': False, 'RestaurantsTableService': True, 'Corkage': True, 'RestaurantsTakeOut': True, 'GoodForKids': False, 'WheelchairAccessible': True, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['American (New)', 'Restaurants']",Las Vegas,"{'Monday': '17:30-22:00', 'Tuesday': '17:30-22:00', 'Friday': '17:30-22:00', 'Wednesday': '17:30-22:00', 'Thursday': '17:30-22:00', 'Sunday': '17:30-22:00', 'Saturday': '17:30-22:00'}",0,36.1427696,-115.26928670000001,Rosemary's Restaurant,Westside,89117.0,323,4.5,NV,Dave
1,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Fix's ambience is so-so. They would benefit from real walls (or tinted glass) to muffle some of the casino chatter and give it a real partitioned feeling. The sports game playing on the TV near us felt out of place, though a friend said it's likely someone was betting on the game and wanted to see its outcome.Our group of six didn't have reservations, but we secured seating by the bar. Service was outstanding! Our servers (Monica and Candy) were attentive and friendly. Monica got us tasty shots - the one I remember was a lemon drop with blueberry. (As you may have read elsewhere, their waitstaff is indeed gorgeous. I freakin' giggled like a middle schooler when Monica flashed a smile in my direction.)A few of us were recovering from a buffet earlier that day, so we went for side dishes and appetizers:- The Bobby Baldwin Burgers ($25) - three kobe sliders (with cheddar, grilled onions, and spiced fries) - were excellent, moist, and flavorful. Wish I had some right now.- I'm an oyster junkie, so I had to get their oysters ($3/oyster; East, West, and Speciality oysters available) were fresh and delicious.- The Forks ($21) were a little cheesy (in both senses of the word) - smoked salmon, caviar poppers, scallion blinis. My least favorite, but still tasty.I'd stop in again for the sliders, and perhaps their entrees (my one friend enjoyed his 20 oz. Ribeye ($49), and I trust his opinion). While the food was as pricey as I expected for a casino restaurant, the food TASTED better than I expected, even for the opulent Bellagio. Recommended for a try.",0,PDIh1lVtKlUqPJROXYJQvQ,0,EpGJ1WxNzRNQcTP2mzDpdg,2007-12-01,4,0,33,"Bellagio Las Vegas, 3600 S Las Vegas Blvd","{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantsAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': True, 'BYOB': False, 'BusinessAcceptsBitcoin': False, 'RestaurantsTableService': True, 'Corkage': True, 'RestaurantsTakeOut': False, 'GoodForKids': False, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}}","['American (New)', 'Steakhouses', 'Restaurants', 'Nightlife', 'Seafood', 'Bars']",Las Vegas,"{'Monday': '17:00-23:00', 'Tuesday': '17:00-23:00', 'Friday': '17:00-0:00', 'Wednesday': '17:00-23:00', 'Thursday': '17:00-23:00', 'Sunday': '17:00-23:00', 'Saturday': '17:00-0:00'}",1,36.1138449,-115.1753912,FIX,The Strip,89109.0,605,3.5,NV,Dave
2,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Lotus of Siam recommends folks make reservations for dinner, and I couldn't agree more. The place gets a healthy crowd, so reserve as soon as you decide to go. Dress is casual, though I saw a table of women ready to go clubbing all glammed up.Their unassuming interior won't ""wow"" you (but you may notice the strong smell of Thai spices permeating the dining room). While you may not be shocked by the decor, the food WILL grab your attention. All of our appetizers and entrees were tasty and of a consistent quality. If we requested our dishes to be spicy, they came out spicy.Shared many dishes (which explains why I don't have much detail for some of them) and dined family style:- koong sarong (prawn in a blanket; $11) - wish we had more!- moo dad deaw (deep fried marinated pork jerky; $8) - yum- mussels - spicy and scrumptious- salad with ginger, ground beef ($8) - I think it was the tod mun plar- sour soup (served in its own cooker) (probably more than $10)- calamari salad (not bad!)- green curry (tasty, not overtly spicy)- something that looked like an omelette- a noodle dish that was drunken noodle-esqueLotus of Siam was recommended by many folks, local and otherwise. They aren't the best Thai restaurant in the US, as claimed, but it sure comes close. If you can live with average service (our first waitress seemed a little curt, but the rest were fine) and focus on their outstanding food, you'll find yourself a winner!",3,KskYqH1Bi7Z_61pH6Om8pg,2,q-Ypu0rV48niwF5zHChrhQ,2008-02-25,4,2,30,"953 E Sahara Ave, Ste A5","{'Alcohol': 'beer_and_wine', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'yes_free', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': True, 'BYOB': False, 'BikeParking': False, 'Corkage': False, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'HappyHour': False, 'GoodForDancing': False, 'Open24Hours': False, 'RestaurantsTableService': True, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'CoatCheck': False, 'Smoking': 'no', 'WheelchairAccessible': True, 'DietaryRestrictions': {'dairy-free': True, 'gluten-free': False, 'vegan': True, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}, 'RestaurantsCounterService': False}","['Car Dealers', 'Thai', 'Automotive', 'Seafood', 'Bars', 'Wine Bars', 'Restaurants', 'Nightlife']",Las Vegas,"{'Monday': '11:00-14:30', 'Tuesday': '11:00-14:30', 'Friday': '11:00-14:30', 'Wednesday': '11:00-14:30', 'Thursday': '11:00-14:30', 'Sunday': '17:30-22:00', 'Saturday': '17:30-22:00'}",1,36.14345,-115.14278,Lotus of Siam,Downtown,89104.0,3964,4.0,NV,Dave
3,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Ginseng BBQ was recommended by a few friends so we stopped by for dinner. From the Vegas Strip, it isn't obvious where it is, at least for anyone who can't read Korean! (Their name is visible in Korean on the shopping center sign I believe.)It's a spacious venue, and I saw a decent crowd of Koreans serving AND dining, always a good sign.We opted for BBQ. Our kalbi's marinade was spicy spicy spicy! The banchan plates were good, too (mmmmmm kimchi). Surprisingly, this restaurant charges for lettuce. (Yes, lettuce. I've never seen that before! A friend actually ordered the lettuce... high-roller!)Service was fine, the servers even cooked the meat we ordered on our table grills. (My friend won a LOT of money and the servers got excited when he showed us his high-value chips, even coming around to the table more often, hah!)Despite the high prices for meat (and, c'mon, lettuce?), good service, and delicious meats, this is a great place for Korean BBQ, late night or otherwise. Recommended!",1,EkuSy_kM8dpGrlb2pTxCBw,1,4ySO2Hq-hNE1DFNst1pZfA,2008-01-04,4,2,28,3765 S Las Vegas Blvd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'beer_and_wine', 'Caters': False, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Barbeque', 'Korean']",Las Vegas,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,36.105019299999995,-115.171768,Ginseng Korean BBQ II,The Strip,89109.0,291,3.0,NV,Dave
4,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"We attempted to walk to this In-N-Out (which is possible, by the way) but since we were pretty hungry (and continuing our walk involved crossing a relatively dangerous street), we hailed a taxi which took us the last quarter mile there.The parking lot was packed with cars. Other taxis were taking folks here (and I might have seen a limo). The line was pretty long, snaking almost outside the door. Diners were eating outside as well as inside, but while waiting, we somehow managed to secure a few tables for our group. Service was going as fast as they could; there simply was an amazing mass of customers.I ordered a 3x3 Animal Style. As usual, it was DELICIOUS (either you love In-N-Out or you don't, I fall in the former camp). One of my friends requested hot peppers and they came out in little baggies - that's the first time I've seen that at an In-N-Out, and it made my burger even better. If you like In-N-Out, this is one of the good ones, which makes everything just the way they usually do it. Recommended for a good, greasy fast food meal off the Strip, nothing more.",4,nVAJZ6BJ9PPlxDXn976R6A,5,TLJDQodZfSNAmEjF4QaWCQ,2008-03-21,4,2,26,4888 Dean Martin Dr,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'WheelchairAccessible': True, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}","['Restaurants', 'Burgers', 'Fast Food']",Las Vegas,"{'Monday': '10:30-1:00', 'Tuesday': '10:30-1:00', 'Friday': '10:30-1:30', 'Wednesday': '10:30-1:00', 'Thursday': '10:30-1:00', 'Sunday': '10:30-1:00', 'Saturday': '10:30-1:30'}",1,36.1013195,-115.18218619999999,In-N-Out Burger,,89103.0,954,4.0,NV,Dave
5,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"A party of 20 and I had complimentary passes to Tryst but weren't allowed to use them. The staff told us that they weren't valid during a holiday weekend (it was New Year's Eve weekend). The passes didn't have fine print stating when they couldn't be used - nor did the promoter tip us off to that! Even with this hiccup, our group had an excellent time.This is one of my favorite spots to party. The lit waterfall is gorgeous, and there's room to breathe. You don't feel like you're in a meatpacking plant like you do at other Vegas nightclubs. Drinks aren't cheap - this is Vegas, after all - but that's what pregaming is for.All of the staff were professional, not condescending, and helpful, from the bouncers to the bathroom attendants, to the bartenders. Noy, our super bartender, kept the drinks coming and was funny, too! The MC at the door was receptive to our group's feedback and let the girls (half of our group) in free. Multiple DJs entertained and kept the entire club dancing all night.Recommended for a fun time.",1,EVxY3Vcc-4uavsq2CQsk3g,0,-yW0Cln38l1EM5oDag4O5g,2007-04-26,4,0,25,3131 South Las Vegas Blvd,"{'Open24Hours': False, 'Alcohol': 'full_bar', 'HasTV': False, 'CoatCheck': True, 'NoiseLevel': 'very_loud', 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'AgesAllowed': '21plus', 'Music': {'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'WheelchairAccessible': True, 'BikeParking': False, 'Smoking': 'yes', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'RestaurantsGoodForGroups': True, 'HappyHour': False, 'GoodForDancing': True, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}}","['Nightlife', 'Dance Clubs']",Las Vegas,{},0,36.12681141,-115.16740159999998,Tryst Nightclub,The Strip,89109.0,984,3.5,NV,Dave
6,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Galloping honeypots, Ocha Thai is a find![1] Their plain Jane interior may not impress, but their Thai and Chinese cooking will.Considering Ocha is in the shadow of the Stratosphere, they might seem to be a bit of a dive, especially in comparison to other spots on the Strip. On the contrary, Ocha is clean, and their service wicked fast: we were seated, had our orders taken, and got our food before we could blink. For their speed, we never were rushed.Everything was expertly prepared, from start to finish. We enjoyed their beef jerky appetizer ($8.95) - chunks of tender spiced beef brisket, sundried then deep-fried - as much as the sweet sauce that came on the side. Their chicken tom yum soup (8.95), flavored with mushrooms, lemongrass, chili and lime juice, helped ward off hunger.For entrees, try their pad thai chicken (8.95), stir-fried with bean sprouts, and a lime on the side. It's slightly sweet, with a perfect, light texture. A few plates of combination (pork, chicken, beef) fried rice (9.95/plate) rounded off our meal nicely. (Somehow we ended up with sticky rice too, but I didn't try any.)Recommended for a comfortable, affordable lunch.[1] Thanks Vy for taking me here! Getting here was an adventure, but worth the effort.",12,EWbNTPW0co_X4lZRB-QTLQ,9,MS8tvRYuQGMex2-tXx8keg,2008-12-22,5,9,25,1201 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': True, 'BusinessAcceptsBitcoin': False, 'RestaurantsTableService': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'DogsAllowed': False, 'BikeParking': True, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'DietaryRestrictions': {'dairy-free': False, 'gluten-free': False, 'vegan': False, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}}","['Chinese', 'Restaurants', 'Thai']",Las Vegas,"{'Monday': '11:00-23:00', 'Tuesday': '11:00-23:00', 'Friday': '11:00-0:00', 'Wednesday': '11:00-23:00', 'Thursday': '11:00-23:00', 'Sunday': '11:00-23:00', 'Saturday': '11:00-0:00'}",1,36.156674200000005,-115.1484497,Ocha Thai Cuisine,Downtown,89104.0,312,4.0,NV,Dave
7,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"""Classy"" and ""buffet"" usually don't go together, but the Wynn nails it: their buffet is the best dinner buffet on the Strip I've had thus far. It ought to be, for the price ($40).Stations represent different ""ethnic"" foods, your typical Indian, typical Chinese, some Thai. The salad bar was fresh and inventive. The lamb was amazingly moist, the highlight of the meat offerings. The charcuterie was an unexpected treat, little pickles and all, and the dessert area impressed me, even without a sweet tooth. Of course, king crab legs never disappoint.Friends and I decided to celebrate a birthday here, so after we let our server know, we were provided a dessert assortment, complete with candle, while waiters sang ""Happy Birthday"". Thoughtful!The buffet has a ton of seating, and you don't feel like you're on a farm thanks to strategically-placed partitions which provide a sense of privacy. The ambiance is money - one should expect nothing less from the Wynn.",14,2weQS-RnoOBhb1KsHKyoSQ,13,sTZrFGELogFdSoRxv5PYgw,2009-12-06,4,7,24,3131 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': False, 'BYOB': False, 'RestaurantsTableService': True, 'Corkage': False, 'RestaurantsTakeOut': False, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'RestaurantsCounterService': False}","['Buffets', 'Restaurants']",Las Vegas,"{'Monday': '7:30-21:30', 'Tuesday': '7:30-21:30', 'Friday': '7:30-21:30', 'Wednesday': '7:30-21:30', 'Thursday': '7:30-21:30', 'Sunday': '7:30-21:30', 'Saturday': '7:30-21:30'}",1,36.12688722,-115.16559,The Buffet,The Strip,89109.0,4018,3.5,NV,Dave
8,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Assuming you can secure a seat at the Jean Philippe Patisserie, do people-watch, since staring at fellow customers and casino-goers is always fun, right? Like the rest of the Bellagio, the patisserie itself is beautiful, full of works of art (most can be purchased), which their desserts could also be described as.I love ice cream, so I went for a cup of cookies and creme. From the first bite, it was orgasmic bliss, deliciously smooth and creamy, cooling, and not terribly sweet - just enough. It's pricey dessert goodness, but worth it for those with sweet tooths. (I tried a bite of one of their other desserts, but I'm purely an ice cream man.)",5,UUGoM4q4i8rK2CBRS0xDAw,5,v3OIxFQHfa5Y6n1jUGw2fQ,2008-06-09,4,2,23,3600 S Las Vegas Blvd,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': False, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'ByAppointmentOnly': False, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}}","['Coffee & Tea', 'Cafes', 'Desserts', 'Food', 'Restaurants']",Las Vegas,"{'Monday': '6:00-23:00', 'Tuesday': '6:00-23:00', 'Friday': '6:00-0:00', 'Wednesday': '6:00-23:00', 'Thursday': '6:00-23:00', 'Sunday': '6:00-0:00', 'Saturday': '6:00-0:00'}",1,36.11194592,-115.17687679999999,Jean Philippe Patisserie,The Strip,89109.0,1184,4.0,NV,Dave
9,6s-g2vFu12OemhiK3FJuOQ,2337,2/14/2007,187492,824,11,23361,134,9.65978539,"Planet Hollywood's Playing Field Lounge is a chic venue, with an attractively lit bar full of bottles. It's small, so this is a good spot to start the night. Friends and I lounged on a couch, grabbing drinks before dinner.My server (Deb) was professional yet amusing, and had a flair for presentation. Like a ninja, she replaced my waters and got me shots before I even noticed; red Washington apple shots are truly delicious, and she wasn't stingy with the alcohol.Visit the Playing Field to enjoy a pleasant atmosphere, wonderful service (ask for Deb!), and reasonable prices (for a casino). I had an EXTREMELY positive experience here, so my star-rating reflects that.",5,2RCB307uNxQekVQEr4IrKQ,2,bOvn3eJGDeKZ3WSJlB95IQ,2008-12-19,5,2,21,3667 S Las Vegas Blvd,"{'Alcohol': 'full_bar', 'HasTV': True, 'CoatCheck': False, 'NoiseLevel': 'very_loud', 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'Music': {'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'BikeParking': False, 'Smoking': 'yes', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}, 'RestaurantsGoodForGroups': True, 'HappyHour': False, 'GoodForDancing': False}","['Sports Bars', 'Nightlife', 'Bars']",Las Vegas,{},1,36.109588,-115.17253999999998,The Playing Field Lounge,The Strip,89136.0,9,3.0,NV,Dave
